項次,國別,年別,類別,總生育率(人),資料說明,資料來源
146,法國,2065,中推估,1.84,亦包含法國海外領土,EUROSTAT網站，下載於2020年4月
147,法國,2070,中推估,1.84,-,EUROSTAT網站，下載於2020年4月
148,挪威,1970,實際,2.49,-,EUROSTAT網站，下載於2020年4月
149,挪威,1975,實際,1.86,-,EUROSTAT網站，下載於2020年4月
150,挪威,1980,實際,1.7,-,EUROSTAT網站，下載於2020年4月
151,挪威,1985,實際,1.71,-,EUROSTAT網站，下載於2020年4月
152,挪威,1990,實際,1.92,-,EUROSTAT網站，下載於2020年4月
153,挪威,1995,實際,1.89,-,EUROSTAT網站，下載於2020年4月
154,挪威,2000,實際,1.78,-,EUROSTAT網站，下載於2020年4月
155,挪威,2005,實際,1.9,-,EUROSTAT網站，下載於2020年4月
156,挪威,2010,實際,1.88,-,EUROSTAT網站，下載於2020年4月
157,挪威,2015,實際,1.71,-,EUROSTAT網站，下載於2020年4月
158,挪威,2020,中推估,1.53,-,EUROSTAT網站，下載於2020年4月
159,挪威,2025,中推估,1.54,-,EUROSTAT網站，下載於2020年4月
160,挪威,2030,中推估,1.56,-,EUROSTAT網站，下載於2020年4月
161,挪威,2035,中推估,1.57,-,EUROSTAT網站，下載於2020年4月
162,挪威,2040,中推估,1.58,-,EUROSTAT網站，下載於2020年4月
163,挪威,2045,中推估,1.59,-,EUROSTAT網站，下載於2020年4月
164,挪威,2050,中推估,1.6,-,EUROSTAT網站，下載於2020年4月
165,挪威,2055,中推估,1.62,-,EUROSTAT網站，下載於2020年4月
166,挪威,2060,中推估,1.63,-,EUROSTAT網站，下載於2020年4月
167,挪威,2065,中推估,1.64,-,EUROSTAT網站，下載於2020年4月
168,挪威,2070,中推估,1.65,-,EUROSTAT網站，下載於2020年4月
169,瑞典,1970,實際,1.96,-,EUROSTAT網站，下載於2020年4月
170,瑞典,1975,實際,1.68,-,EUROSTAT網站，下載於2020年4月
171,瑞典,1980,實際,1.63,-,EUROSTAT網站，下載於2020年4月
172,瑞典,1985,實際,1.8,-,EUROSTAT網站，下載於2020年4月
173,瑞典,1990,實際,2.11,-,EUROSTAT網站，下載於2020年4月
174,瑞典,1995,實際,1.6,-,EUROSTAT網站，下載於2020年4月
175,瑞典,2000,實際,1.57,-,EUROSTAT網站，下載於2020年4月
176,瑞典,2005,實際,1.85,-,EUROSTAT網站，下載於2020年4月
177,瑞典,2010,實際,1.9,-,EUROSTAT網站，下載於2020年4月
178,瑞典,2015,實際,1.85,-,EUROSTAT網站，下載於2020年4月
179,瑞典,2020,中推估,1.7,-,EUROSTAT網站，下載於2020年4月
180,瑞典,2025,中推估,1.73,-,EUROSTAT網站，下載於2020年4月
181,瑞典,2030,中推估,1.76,-,EUROSTAT網站，下載於2020年4月
182,瑞典,2035,中推估,1.77,-,EUROSTAT網站，下載於2020年4月
183,瑞典,2040,中推估,1.78,-,EUROSTAT網站，下載於2020年4月
184,瑞典,2045,中推估,1.78,-,EUROSTAT網站，下載於2020年4月
185,瑞典,2050,中推估,1.78,-,EUROSTAT網站，下載於2020年4月
186,瑞典,2055,中推估,1.78,-,EUROSTAT網站，下載於2020年4月
187,瑞典,2060,中推估,1.78,-,EUROSTAT網站，下載於2020年4月
188,瑞典,2065,中推估,1.78,-,EUROSTAT網站，下載於2020年4月
189,瑞典,2070,中推估,1.78,-,EUROSTAT網站，下載於2020年4月
190,荷蘭,1970,實際,2.36,-,EUROSTAT網站，下載於2020年4月
191,荷蘭,1975,實際,1.63,-,EUROSTAT網站，下載於2020年4月
192,荷蘭,1980,實際,1.56,-,EUROSTAT網站，下載於2020年4月
193,荷蘭,1985,實際,1.55,-,EUROSTAT網站，下載於2020年4月
194,荷蘭,1990,實際,1.61,-,EUROSTAT網站，下載於2020年4月
195,荷蘭,1995,實際,1.53,-,EUROSTAT網站，下載於2020年4月
196,荷蘭,2000,實際,1.71,-,EUROSTAT網站，下載於2020年4月
197,荷蘭,2005,實際,1.72,-,EUROSTAT網站，下載於2020年4月
198,荷蘭,2010,實際,1.76,-,EUROSTAT網站，下載於2020年4月
199,荷蘭,2015,實際,1.66,-,EUROSTAT網站，下載於2020年4月
200,荷蘭,2020,中推估,1.58,-,EUROSTAT網站，下載於2020年4月
201,荷蘭,2025,中推估,1.59,-,EUROSTAT網站，下載於2020年4月
202,荷蘭,2030,中推估,1.6,-,EUROSTAT網站，下載於2020年4月
203,荷蘭,2035,中推估,1.61,-,EUROSTAT網站，下載於2020年4月
204,荷蘭,2040,中推估,1.62,-,EUROSTAT網站，下載於2020年4月
205,荷蘭,2045,中推估,1.63,-,EUROSTAT網站，下載於2020年4月
206,荷蘭,2050,中推估,1.64,-,EUROSTAT網站，下載於2020年4月
207,荷蘭,2055,中推估,1.65,-,EUROSTAT網站，下載於2020年4月
208,荷蘭,2060,中推估,1.66,-,EUROSTAT網站，下載於2020年4月
209,荷蘭,2065,中推估,1.67,-,EUROSTAT網站，下載於2020年4月
210,荷蘭,2070,中推估,1.68,-,EUROSTAT網站，下載於2020年4月
211,芬蘭,1970,實際,1.68,-,EUROSTAT網站，下載於2020年4月
212,芬蘭,1975,實際,1.7,-,EUROSTAT網站，下載於2020年4月
213,芬蘭,1980,實際,1.64,-,EUROSTAT網站，下載於2020年4月
214,芬蘭,1985,實際,1.6,-,EUROSTAT網站，下載於2020年4月
215,芬蘭,1990,實際,1.79,-,EUROSTAT網站，下載於2020年4月
216,芬蘭,1995,實際,1.76,-,EUROSTAT網站，下載於2020年4月
217,芬蘭,2000,實際,1.73,-,EUROSTAT網站，下載於2020年4月
218,芬蘭,2005,實際,1.84,-,EUROSTAT網站，下載於2020年4月
219,芬蘭,2010,實際,1.83,-,EUROSTAT網站，下載於2020年4月
220,芬蘭,2015,實際,1.57,-,EUROSTAT網站，下載於2020年4月
221,芬蘭,2020,中推估,1.34,-,EUROSTAT網站，下載於2020年4月
222,芬蘭,2025,中推估,1.36,-,EUROSTAT網站，下載於2020年4月
223,芬蘭,2030,中推估,1.39,-,EUROSTAT網站，下載於2020年4月
224,芬蘭,2035,中推估,1.41,-,EUROSTAT網站，下載於2020年4月
225,芬蘭,2040,中推估,1.43,-,EUROSTAT網站，下載於2020年4月
226,芬蘭,2045,中推估,1.45,-,EUROSTAT網站，下載於2020年4月
227,芬蘭,2050,中推估,1.47,-,EUROSTAT網站，下載於2020年4月
228,芬蘭,2055,中推估,1.48,-,EUROSTAT網站，下載於2020年4月
229,芬蘭,2060,中推估,1.5,-,EUROSTAT網站，下載於2020年4月
230,芬蘭,2065,中推估,1.52,-,EUROSTAT網站，下載於2020年4月
231,芬蘭,2070,中推估,1.54,-,EUROSTAT網站，下載於2020年4月
232,奧地利,1970,實際,2.2,-,EUROSTAT網站，下載於2020年4月
233,奧地利,1975,實際,1.69,-,EUROSTAT網站，下載於2020年4月
234,奧地利,1980,實際,1.67,-,EUROSTAT網站，下載於2020年4月
235,奧地利,1985,實際,1.45,-,EUROSTAT網站，下載於2020年4月
236,奧地利,1990,實際,1.51,-,EUROSTAT網站，下載於2020年4月
237,奧地利,1995,實際,1.45,-,EUROSTAT網站，下載於2020年4月
238,奧地利,2000,實際,1.33,-,EUROSTAT網站，下載於2020年4月
239,奧地利,2005,實際,1.41,-,EUROSTAT網站，下載於2020年4月
240,奧地利,2010,實際,1.43,-,EUROSTAT網站，下載於2020年4月
241,奧地利,2015,實際,1.53,-,EUROSTAT網站，下載於2020年4月
242,奧地利,2020,中推估,1.45,-,EUROSTAT網站，下載於2020年4月
243,奧地利,2025,中推估,1.47,-,EUROSTAT網站，下載於2020年4月
244,奧地利,2030,中推估,1.49,-,EUROSTAT網站，下載於2020年4月
245,奧地利,2035,中推估,1.5,-,EUROSTAT網站，下載於2020年4月
246,奧地利,2040,中推估,1.52,-,EUROSTAT網站，下載於2020年4月
247,奧地利,2045,中推估,1.53,-,EUROSTAT網站，下載於2020年4月
248,奧地利,2050,中推估,1.55,-,EUROSTAT網站，下載於2020年4月
249,奧地利,2055,中推估,1.56,-,EUROSTAT網站，下載於2020年4月
250,奧地利,2060,中推估,1.57,-,EUROSTAT網站，下載於2020年4月
251,奧地利,2065,中推估,1.59,-,EUROSTAT網站，下載於2020年4月
252,奧地利,2070,中推估,1.6,-,EUROSTAT網站，下載於2020年4月
253,義大利,1970,實際,2.4,-,EUROSTAT網站，下載於2020年4月
254,義大利,1975,實際,2.04,-,EUROSTAT網站，下載於2020年4月
255,義大利,1980,實際,1.58,-,EUROSTAT網站，下載於2020年4月
256,義大利,1985,實際,1.35,-,EUROSTAT網站，下載於2020年4月
257,義大利,1990,實際,1.3,-,EUROSTAT網站，下載於2020年4月
258,義大利,1995,實際,1.2,-,EUROSTAT網站，下載於2020年4月
259,義大利,2000,實際,1.25,-,EUROSTAT網站，下載於2020年4月
260,義大利,2005,實際,1.37,-,EUROSTAT網站，下載於2020年4月
261,義大利,2010,實際,1.44,-,EUROSTAT網站，下載於2020年4月
262,義大利,2015,實際,1.34,-,EUROSTAT網站，下載於2020年4月
263,義大利,2020,中推估,1.33,-,EUROSTAT網站，下載於2020年4月
264,義大利,2025,中推估,1.35,-,EUROSTAT網站，下載於2020年4月
265,義大利,2030,中推估,1.38,-,EUROSTAT網站，下載於2020年4月
266,義大利,2035,中推估,1.4,-,EUROSTAT網站，下載於2020年4月
267,義大利,2040,中推估,1.42,-,EUROSTAT網站，下載於2020年4月
268,義大利,2045,中推估,1.43,-,EUROSTAT網站，下載於2020年4月
269,義大利,2050,中推估,1.45,-,EUROSTAT網站，下載於2020年4月
270,義大利,2055,中推估,1.47,-,EUROSTAT網站，下載於2020年4月
271,義大利,2060,中推估,1.49,-,EUROSTAT網站，下載於2020年4月
272,義大利,2065,中推估,1.5,-,EUROSTAT網站，下載於2020年4月
273,義大利,2070,中推估,1.52,-,EUROSTAT網站，下載於2020年4月
274,西班牙,1970,實際,2.88,-,EUROSTAT網站，下載於2020年4月
275,西班牙,1975,實際,2.79,-,EUROSTAT網站，下載於2020年4月
276,西班牙,1980,實際,2.04,-,EUROSTAT網站，下載於2020年4月
277,西班牙,1985,實際,1.56,-,EUROSTAT網站，下載於2020年4月
278,西班牙,1990,實際,1.33,-,EUROSTAT網站，下載於2020年4月
279,西班牙,1995,實際,1.16,-,EUROSTAT網站，下載於2020年4月
280,西班牙,2000,實際,1.24,-,EUROSTAT網站，下載於2020年4月
281,西班牙,2005,實際,1.36,-,EUROSTAT網站，下載於2020年4月
282,西班牙,2010,實際,1.34,-,EUROSTAT網站，下載於2020年4月
283,西班牙,2015,實際,1.34,-,EUROSTAT網站，下載於2020年4月
284,西班牙,2020,中推估,1.28,-,EUROSTAT網站，下載於2020年4月
285,西班牙,2025,中推估,1.31,-,EUROSTAT網站，下載於2020年4月
286,西班牙,2030,中推估,1.33,-,EUROSTAT網站，下載於2020年4月
287,西班牙,2035,中推估,1.35,-,EUROSTAT網站，下載於2020年4月
288,西班牙,2040,中推估,1.38,-,EUROSTAT網站，下載於2020年4月
289,西班牙,2045,中推估,1.4,-,EUROSTAT網站，下載於2020年4月
290,西班牙,2050,中推估,1.42,-,EUROSTAT網站，下載於2020年4月
291,西班牙,2055,中推估,1.44,-,EUROSTAT網站，下載於2020年4月
292,西班牙,2060,中推估,1.45,-,EUROSTAT網站，下載於2020年4月
293,西班牙,2065,中推估,1.47,-,EUROSTAT網站，下載於2020年4月
294,西班牙,2070,中推估,1.49,-,EUROSTAT網站，下載於2020年4月
